"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate Evaluate API Response Adhers to Schema","156","validateEvaluateResponseAdhersToSchema","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiTest","validateEvaluateResponseAdhersToSchema"
"check valid suit","17","eachCardHasValidSuitAndRank","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.DealApiTest","API Test - Deal Hand","com.portfolio.threecard.api.DealApiTest","eachCardHasValidSuitAndRank"
"JSON Body of no cards returns HTTP400","8","missingCardsReturns400","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiNegativeTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiNegativeTest","missingCardsReturns400"
"size of cards is 3","13","dealReturnsThreeCards","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.DealApiTest","API Test - Deal Hand","com.portfolio.threecard.api.DealApiTest","dealReturnsThreeCards"
"asserts hand result is always displayed","265","consecutiveDealUpdateHandRank","Three Card Poker Test Suite","2026-06-30","passed","2026-06-30","com.portfolio.threecard.ui.HandRankUiTest","UI Test - Hand Rank","com.portfolio.threecard.ui.HandRankUiTest","consecutiveDealUpdateHandRank"
"asserts hand result is not null","162","dealShowsHandRank","Three Card Poker Test Suite","2026-06-30","passed","2026-06-30","com.portfolio.threecard.ui.HandRankUiTest","UI Test - Hand Rank","com.portfolio.threecard.ui.HandRankUiTest","dealShowsHandRank"
"","1","setup","Three Card Poker Test Suite","2026-06-26","broken","2026-06-26","com.portfolio.threecard.ui.DealHandUITest","UI Tests - Deal Hand","com.portfolio.threecard.ui.DealHandUITest","setup"
"asserts card text is not empty","102","dealHandShowsThreeCards","Three Card Poker Test Suite","2026-06-30","passed","2026-06-30","com.portfolio.threecard.ui.DealHandUITest","UI Tests - Deal Hand","com.portfolio.threecard.ui.DealHandUITest","dealHandShowsThreeCards"
"check size of card array is 3","536","consecutiveDealCallsReturnThreeCards","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.DealApiTest","API Test - Deal Hand","com.portfolio.threecard.api.DealApiTest","consecutiveDealCallsReturnThreeCards"
"asserts length of card text is greater than 1","167","eachCardHasRandAndSuit","Three Card Poker Test Suite","2026-06-30","passed","2026-06-30","com.portfolio.threecard.ui.DealHandUITest","UI Tests - Deal Hand","com.portfolio.threecard.ui.DealHandUITest","eachCardHasRandAndSuit"
"asserts if result string is contained in list of possible hand ranks or not","92","handRankIsValidValue","Three Card Poker Test Suite","2026-06-30","passed","2026-06-30","com.portfolio.threecard.ui.HandRankUiTest","UI Test - Hand Rank","com.portfolio.threecard.ui.HandRankUiTest","handRankIsValidValue"
"JSON Body of 2 cards returns HTTP400","9","incorrectCardCountReturns400","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiNegativeTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiNegativeTest","incorrectCardCountReturns400"
"When 3 cards are dealt, response is HTTP200","8","validateSuccessResponse","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiTest","validateSuccessResponse"
"API response code is 200","15","dealReturnsHttp200","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.DealApiTest","API Test - Deal Hand","com.portfolio.threecard.api.DealApiTest","dealReturnsHttp200"
"JSON Body with invalid suit returns HTTP400","17","invalidSuitReturns400","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiNegativeTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiNegativeTest","invalidSuitReturns400"
"JSON Body of 4 cards returns HTTP400","10","fourCardCountReturns400","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiNegativeTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiNegativeTest","fourCardCountReturns400"
"JSON Body with invalid Rank returns HTTP400","9","invalidRankReturns400","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiNegativeTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiNegativeTest","invalidRankReturns400"
"When 3 Aces are dealt, three of a kind is responded","12","validateThreeOfAKind","Three Card Poker Test Suite","2026-07-01","passed","2026-07-01","com.portfolio.threecard.api.EvaluateApiTest","API Test - Evaluate Hand","com.portfolio.threecard.api.EvaluateApiTest","validateThreeOfAKind"
